ID (Dosya-Soru),Soru Metni (OCR),Alt Konu,Zorluk (1-5),Görsel Tipi,Kaynak Tipi
P02-S01,18 sayısını bölen pozitif tam sayıların toplamı kaçtır?,Bir Doğal Sayının Çarpanları,1,Yok,Başlangıç Sorusu
P11-S44,54 kg şeker ve 96 kg nohut birbirine karıştırılmadan... eşit torbalara...,EBOB ve EKOK,2,Yok,Başlangıç Sorusu
P21-S84,"Bir metro istasyonuna A yönünden 6 dakikada bir, B yönünden 8 dakikada bir metro gelmektedir...",Aralarında Asal Sayılar,3,Şematik,LGS Örnek Soru
P48-S151,Aşağıda kenar uzunlukları... özdeş iki kağıt verilmiştir... Şekil I ve Şekil II'deki gibi katlanıyor...,,4,Geometrik Şekil,LGS Örnek Soru
P59-S173,Her birinin kütlesi 40 kg'dan az... buğday çuvalları... kantar 720 kg gelmektedir.,,5,Resimli,Çıkmış Soru (2020)
,,,,,
ID,Soru Metni(OCR),Alt Konu,Zorluk,Görsel Tipi,Kaynak Tipi
P2-S1,18 sayısını bölen pozitif tam sayıların toplamı kaçtır?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P2-S2,Aşağıdakilerden hangisi 96 sayısının çarpanlarından biri değildir?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P2-S3,Aşağıdakilerden hangisi bu dikdörtgensel bölgenin kenar uzunluklarından biri olamaz?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P2-S4,Bu dikdörtgenlerden çevresi en küçük olanın çevresi kaç cm dir?,Geometrik Mantık,3,Görsel Yok,Başlangıç Sorusu
P2-S5,Misafirlerin sayısı 6'dan fazla olduğuna göre içilen çay sayısı aşağıdakilerden hangisi olamaz?,Eşit Paylaştırma,2,Görsel Yok,Başlangıç Sorusu
P2-S6,İki basamaklı en büyük asal sayı ile iki basamaklı en küçük asal sayı arasındaki fark kaçtır?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P2-S7,Aşağıdaki sayılardan hangisinin asal çarpan sayısı diğerlerinden fazladır?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P2-S8,Aşağıdakilerden hangisi yanlıştır?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S9,216 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S10,360 sayısının asal çarpanlarının çarpımı şeklinde yazılışı aşağıdakilerden hangisidir?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S11,42 sayısının asal çarpanlarının toplamı kaçtır?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S12,120 sayısının farklı asal çarpanlarının toplamı kaçtır?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S13,Aşağıdakilerden hangisi 90 sayısının asal çarpanlarından biri değildir?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S14,Aşağıdakilerden hangisi 910 sayısının çarpanlarından biri değildir?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P3-S15,"Aşağıdaki sayılardan hangisinin asal çarpanları 2,3 ve 5'tir?",Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P3-S16,1500 = 2^a . 3^b . 5^c olduğuna göre a + b + c kaçtır?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P4-S17,Buna göre A + D kaçtır?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P4-S18,x-y-z ifadesinin değeri kaç olur?,Pozitif Bölenler,3,Görsel Yok,Başlangıç Sorusu
P4-S19,"180 sayısının a,b,c cinsinden ifadesi aşağıdakilerden hangisidir?",Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P4-S20,Buna göre Altuğ'un aklından tuttuğu sayı aşağıdakilerden hangisi olabilir?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P4-S21,Buna göre aşağıdakilerden hangisi doğrudur?,Pozitif Bölenler,3,Görsel Yok,Başlangıç Sorusu
P4-S22,Yukarıdaki eşitliklerden hangisi ya da hangileri yanlıştır?,Pozitif Bölenler,1,Görsel Yok,Başlangıç Sorusu
P4-S23,olduğuna göre A+B kaçtır?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P4-S24,"Asal çarpanları 3,5,11 olan dört basamaklı en küçük doğal sayı kaçtır?",Katlar(EKOK),3,Görsel Yok,Başlangıç Sorusu
P5-S25,K'nin alabileceği en küçük değer aşağıdakilerden hangisidir?,Pozitif Bölenler,3,Görsel Yok,Başlangıç Sorusu
P5-S26,A = x^3 . y^1 . z^2 şeklinde yazılabilen en küçük A doğal sayısı kaçtır?,Pozitif Bölenler,3,Görsel Yok,Başlangıç Sorusu
P5-S27,Buna göre A sayısı aşağıdakilerden hangisi olamaz?,Pozitif Bölenler,2,Görsel Yok,Başlangıç Sorusu
P5-S28,Buna göre işleminin sonucu kaçtır?,Pozitif Bölenler,3,Görsel Yok,Başlangıç Sorusu
P5-S29,"Buna göre, bu halkalar verilen kurala göre çubuklara takıldığında aşağıdaki halkalardan hangisi dışta kalır?",Eşit Paylaştırma,3,Resimli,Başlangıç Sorusu
P5-S30,"Buna göre, bu kutudaki toplam şeker sayısı kaçtır?",Eşit Paylaştırma,3,Resimli,Başlangıç Sorusu
P6-S31,B bölgesinin alanının santimetrekare cinsinden değeri aşağıdakilerden hangisi olamaz?,Geometrik Mantık,4,Geometrik Şekil,LGS Örnek Sorusu
P6-S32,Verilenlere göre bu dikdörtgenlerden birinin çevresinin uzunluğu kaç santimetredir?,Geometrik Mantık,4,Geometrik Şekil,LGS Örnek Sorusu
P7-S33,"Buna göre Ahmet'in 14 sayısını söylediği oyunda, Deniz aşağıdaki sayılardan hangisini söylerse oyunu kazanır?",Pozitif Bölenler,3,Resimli,LGS Örnek Sorusu
P7-S34,Buna göre bu kartonun çevresinin uzunluğu en fazla kaç santimetredir?,Geometrik Mantık,4,Geometrik Şekil,LGS Örnek Sorusu
P8-S35,"Bu kartona yerleştirilen beyaz kart sayısı 3 olduğuna göre, en fazla kaç adet asal çarpan kartı yerleştirilmiştir?",Eşit Paylaştırma,5,Resimli,LGS Örnek Sorusu
